-2 -6.35637
-1.9 -6.32184
-1.8 -6.3227
-1.7 -6.26041
-1.6 -6.33489
-1.5 -6.323
-1.4 -6.31126
-1.3 -6.29688
-1.2 -6.26169
-1.1 -6.22098
-1 -6.27823
-0.9 -6.23541
-0.8 -6.24254
-0.7 -6.22906
-0.6 -6.22131
-0.5 -6.22081
-0.4 -6.25409
-0.3 -6.22423
-0.2 -6.23324
-0.1 -6.22825
1e-05 -6.23569
0.1 -6.22825
0.2 -6.23324
0.3 -6.22501
0.4 -6.25448
0.5 -6.22101
0.6 -6.22131
0.7 -6.22906
0.8 -6.24254
0.9 -6.23541
1 -6.27823
1.1 -6.22098
1.2 -6.26169
1.3 -6.29688
1.4 -6.31126
1.5 -6.323
1.6 -6.33489
1.7 -6.26041
1.8 -6.3227
1.9 -6.32184
2 -6.35637
