0 0
0.01 -0.0250664
0.02 0.000832958
0.03 -0.0229885
0.04 0.00355004
0.05 -0.0205341
0.06 -0.0198288
0.07 -0.0175901
0.08 -0.0188168
0.09 -0.0461544
0.1 -0.0491192
0.11 -0.0244398
0.12 -0.0206726
0.13 -0.0181841
0.14 -0.0177344
0.15 -0.0180888
0.16 -0.0430817
0.17 -0.0206991
0.18 -0.0251004
0.19 -0.0230289
0.2 -0.0276211
0.21 -0.0012059
0.22 -0.0273802
0.23 -0.057589
0.24 -0.0364276
0.25 -0.0354673
0.26 -0.013981
0.27 -0.0401678
0.28 -0.0448367
0.29 -0.0496643
0.3 -0.0652127
0.31 -0.0337199
0.32 -0.0389276
0.33 -0.0442741
0.34 -0.0494437
0.35 -0.0560156
0.36 -0.0615774
0.37 -0.092571
0.38 -0.112818
0.39 -0.0844502
0.4 -0.0649815
0.41 -0.0940281
0.42 -0.0769902
0.43 -0.109475
0.44 -0.115779
0.45 -0.122736
0.46 -0.17378
0.47 -0.152664
0.48 -0.159898
0.49 -0.168269
0.5 -0.180774
